time,pid_tb.pos[31:0]
16222700000,-6043
16229900000,-6043
16229900000,-6033
16237100000,-6033
16237100000,-6023
16244300000,-6023
16244300000,-6013
16251500000,-6013
16251500000,-6003
16258700000,-6003
16258700000,-5993
16265900000,-5993
16265900000,-5983
16273100000,-5983
16273100000,-5973
16280300000,-5973
16280300000,-5963
16287500000,-5963
16287500000,-5954
16294700000,-5954
16294700000,-5944
16301900000,-5944
16301900000,-5935
16309100000,-5935
16309100000,-5925
16316300000,-5925
16316300000,-5915
16323500000,-5915
16323500000,-5906
16330700000,-5906
16330700000,-5896
16337900000,-5896
16337900000,-5887
16345100000,-5887
16345100000,-5877
16352300000,-5877
16352300000,-5868
16359500000,-5868
16359500000,-5859
16366700000,-5859
16366700000,-5849
16373900000,-5849
16373900000,-5840
16381100000,-5840
16381100000,-5830
16388300000,-5830
16388300000,-5821
16395500000,-5821
16395500000,-5811
16402700000,-5811
16402700000,-5802
16409900000,-5802
16409900000,-5793
16417100000,-5793
16417100000,-5783
16424300000,-5783
16424300000,-5774
16431500000,-5774
16431500000,-5764
16438700000,-5764
16438700000,-5755
16445900000,-5755
16445900000,-5746
16453100000,-5746
16453100000,-5737
16460300000,-5737
16460300000,-5728
16467500000,-5728
16467500000,-5718
16474700000,-5718
16474700000,-5709
16481900000,-5709
16481900000,-5699
16489100000,-5699
16489100000,-5690
16496300000,-5690
16496300000,-5681
16503500000,-5681
16503500000,-5672
16510700000,-5672
16510700000,-5663
16517900000,-5663
16517900000,-5654
16525100000,-5654
16525100000,-5645
16532300000,-5645
16532300000,-5636
16539500000,-5636
16539500000,-5627
16546700000,-5627
16546700000,-5618
16553900000,-5618
16553900000,-5609
16561100000,-5609
16561100000,-5600
16568300000,-5600
16568300000,-5591
16575500000,-5591
16575500000,-5582
16582700000,-5582
16582700000,-5573
16589900000,-5573
16589900000,-5564
16597100000,-5564
16597100000,-5555
16604300000,-5555
16604300000,-5546
16611500000,-5546
16611500000,-5537
16618700000,-5537
16618700000,-5528
16625900000,-5528
16625900000,-5519
16633100000,-5519
16633100000,-5510
16640300000,-5510
16640300000,-5501
16647500000,-5501
16647500000,-5492
16654700000,-5492
16654700000,-5483
16661900000,-5483
16661900000,-5474
16669100000,-5474
16669100000,-5465
16676300000,-5465
16676300000,-5456
16683500000,-5456
16683500000,-5447
16690700000,-5447
16690700000,-5438
16697900000,-5438
16697900000,-5429
16705100000,-5429
16705100000,-5420
16712300000,-5420
16712300000,-5411
16719500000,-5411
16719500000,-5402
16726700000,-5402
16726700000,-5393
16733900000,-5393
16733900000,-5384
16741100000,-5384
16741100000,-5375
16748300000,-5375
16748300000,-5366
16755500000,-5366
16755500000,-5357
16762700000,-5357
16762700000,-5349
16769900000,-5349
16769900000,-5340
16777100000,-5340
16777100000,-5332
16784300000,-5332
16784300000,-5323
16791500000,-5323
16791500000,-5315
16798700000,-5315
16798700000,-5306
16805900000,-5306
16805900000,-5298
16813100000,-5298
16813100000,-5289
16820300000,-5289
16820300000,-5281
16827500000,-5281
16827500000,-5272
16834700000,-5272
16834700000,-5264
16841900000,-5264
16841900000,-5255
16849100000,-5255
16849100000,-5247
16856300000,-5247
16856300000,-5238
16863500000,-5238
16863500000,-5229
16870700000,-5229
16870700000,-5221
16877900000,-5221
16877900000,-5212
16885100000,-5212
16885100000,-5204
16892300000,-5204
16892300000,-5195
16899500000,-5195
16899500000,-5187
16906700000,-5187
16906700000,-5178
16913900000,-5178
16913900000,-5170
16921100000,-5170
16921100000,-5161
16928300000,-5161
16928300000,-5153
16935500000,-5153
16935500000,-5144
16942700000,-5144
16942700000,-5136
16949900000,-5136
16949900000,-5127
16957100000,-5127
16957100000,-5119
16964300000,-5119
16964300000,-5110
16971500000,-5110
16971500000,-5102
16978700000,-5102
16978700000,-5094
16985900000,-5094
16985900000,-5086
16993100000,-5086
16993100000,-5078
17000300000,-5078
17000300000,-5070
17007500000,-5070
17007500000,-5062
17014700000,-5062
17014700000,-5054
17021900000,-5054
17021900000,-5046
17029100000,-5046
17029100000,-5038
17036300000,-5038
17036300000,-5030
17043500000,-5030
17043500000,-5022
17050700000,-5022
17050700000,-5014
17057900000,-5014
17057900000,-5006
17065100000,-5006
17065100000,-4998
17072300000,-4998
17072300000,-4990
17079500000,-4990
17079500000,-4982
17086700000,-4982
17086700000,-4974
17093900000,-4974
17093900000,-4966
17101100000,-4966
17101100000,-4958
17108300000,-4958
17108300000,-4950
17115500000,-4950
17115500000,-4942
17122700000,-4942
17122700000,-4934
17129900000,-4934
17129900000,-4926
17137100000,-4926
17137100000,-4918
17144300000,-4918
17144300000,-4910
17151500000,-4910
17151500000,-4902
17158700000,-4902
17158700000,-4894
17165900000,-4894
17165900000,-4886
17173100000,-4886
17173100000,-4878
17180300000,-4878
17180300000,-4870
17187500000,-4870
17187500000,-4862
17194700000,-4862
17194700000,-4854
17201900000,-4854
17201900000,-4846
17209100000,-4846
17209100000,-4838
17216300000,-4838
17216300000,-4830
17223500000,-4830
17223500000,-4822
17230700000,-4822
17230700000,-4814
17237900000,-4814
17237900000,-4806
17245100000,-4806
17245100000,-4798
17252300000,-4798
17252300000,-4790
17259500000,-4790
17259500000,-4782
17266700000,-4782
17266700000,-4775
17273900000,-4775
17273900000,-4767
17281100000,-4767
17281100000,-4760
17288300000,-4760
17288300000,-4752
17295500000,-4752
17295500000,-4745
17302700000,-4745
17302700000,-4737
17309900000,-4737
17309900000,-4729
17317100000,-4729
17317100000,-4721
17324300000,-4721
17324300000,-4713
17331500000,-4713
17331500000,-4705
17338700000,-4705
17338700000,-4697
17345900000,-4697
17345900000,-4689
17353100000,-4689
17353100000,-4681
17360300000,-4681
17360300000,-4674
17367500000,-4674
17367500000,-4666
17374700000,-4666
17374700000,-4659
17381900000,-4659
17381900000,-4651
17389100000,-4651
17389100000,-4644
17396300000,-4644
17396300000,-4636
17403500000,-4636
17403500000,-4629
17410700000,-4629
17410700000,-4621
17417900000,-4621
17417900000,-4614
17425100000,-4614
17425100000,-4606
17432300000,-4606
17432300000,-4599
17439500000,-4599
17439500000,-4591
17446700000,-4591
17446700000,-4584
17453900000,-4584
17453900000,-4577
17461100000,-4577
17461100000,-4570
17468300000,-4570
17468300000,-4563
17475500000,-4563
17475500000,-4555
17482700000,-4555
17482700000,-4548
17489900000,-4548
17489900000,-4540
17497100000,-4540
17497100000,-4533
17504300000,-4533
17504300000,-4525
17511500000,-4525
17511500000,-4518
17518700000,-4518
17518700000,-4511
17525900000,-4511
17525900000,-4504
17533100000,-4504
17533100000,-4497
17540300000,-4497
17540300000,-4490
17547500000,-4490
17547500000,-4483
17554700000,-4483
17554700000,-4475
17561900000,-4475
17561900000,-4468
17569100000,-4468
